Mods count: 106
 
jar name                                                    | mod id (isMCreator)                                     | mixin configs
fmlloader-1.20.1-47.4.6.jar (modloader)                     | forge                                                   | 
AdvancementPlaques-1.20.1-forge-1.6.9.jar                   | advancementplaques                                      | 
ae2ct-1.20.1-1.1.1.jar                                      | ae2ct                                                   | ae2ct.mixins.json
AE2NetworkAnalyzer-1.20-1.0.6-forge.jar                     | ae2netanalyser                                          | 
AE2ToggleableViewCell-1.20.1-1.0.1-all.jar                  | ae2_toggleable_view_cell                                | ae2_toggleable_view_cell.mixins.json
ae2wtlib-15.3.3-forge.jar                                   | ae2wtlib                                                | ae2wtlib.mixins.refmap.json, ae2wtlib.mixins.json
alltheleaks-1.1.1+1.20.1-forge.jar                          | alltheleaks                                             | alltheleaks.mixins.json
angelring-1.20.1-2.3.1.jar                                  | angelring                                               | 
appleskin-forge-mc1.20.1-2.5.1.jar                          | appleskin                                               | 
appliedenergistics2-forge-15.4.10.jar                       | ae2                                                     | ae2.mixins.refmap.json, ae2.mixins.json
architectury-9.2.14-forge.jar                               | architectury                                            | architectury.mixins.json, architectury-common.mixins.json
balm-forge-1.20.1-7.3.37-all.jar                            | balm                                                    | balm.mixins.json
    /META-INF/jarjar/kuma-api-forge-20.1.12+1.20.1.jar      | kuma_api                                                | kuma_api.forge.mixins.json, kuma_api.mixins.json
betterp2p-1.5.0-forge.jar                                   | betterp2p                                               | betterp2p-common.mixins.json, betterp2p.mixins.json
BetterQuestPopup-1.20.1(forge)-1.1.0.jar                    | better_quest_popup                                      | better_quest_popup.client.mixins.json
Bettertab-1.0.0.jar                                         | customtab                                               | 
bigger_ae2-1.20.1-1.3.7.jar                                 | bigger_ae2                                              | bigger_ae2.mixins.json
    /META-INF/jars/Registrate-MC1.20-1.3.3.jar              |                                                         | 
bml-1.20.1-1.1.8.jar                                        | blackdogsmoddinglibrary                                 | bml.mixins.json
clean_tooltips-1.0-forge-1.20.1.jar                         | clean_tooltips                                          | clean_tooltips-common.mixins.json
cloth-config-11.1.136-forge.jar                             | cloth_config                                            | 
CodeChickenLib-1.20.1-4.4.0.516-universal.jar               | codechickenlib                                          | mixins.codechickenlib.refmap.json, mixins.codechickenlib.json
cofh_core-1.20.1-11.0.2.56.jar                              | cofh_core                                               | mixins.cofhcore.json, mixins.cofhcore.refmap.json
ColouredTooltips-Forge-1.20.1-18.1.0.jar                    | colouredtooltips                                        | 
configuration-forge-1.20.1-3.1.0.jar                        | configuration                                           | configuration.mixins.json
constructionwand-1.20.1-2.11.jar                            | constructionwand                                        | 
copycats-3.0.4+mc.1.20.1-forge.jar                          | copycats                                                | copycats-common.mixins.json, copycats-forge.mixins.json
craftingtweaks-forge-1.20.1-18.2.6.jar                      | craftingtweaks                                          | craftingtweaks.mixins.json
CrashAssistant-forge-1.19-1.20.1-1.10.28.jar                | crash_assistant                                         | 
    /META-INF/jarjar/app.jar                                |                                                         | 
    /META-INF/jarjar/crash_assistant-forge.jar              | crash_assistant                                         | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
create-1.20.1-6.0.8.jar                                     | create                                                  | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.91.jar         | ponder                                                  | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar            |                                                         | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.5.jar        | flywheel                                                | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create_connected-1.1.10-mc1.20.1-all.jar                    | create_connected                                        | create_connected.mixins.json
createlowheated-forge-1.20.1-6.0.6-4.jar                    | createlowheated                                         | createlowheated.mixins.json
CT++-0.0.11.jar                                             | ctpp                                                    | ctpp.mixins.json, mixins.ctpp.refmap.json
    /META-INF/jarjar/tech.vixhentx.mcmod.CTNH Lib-0.1.jar   | ctnhlib                                                 | mixins.ctnhlib.refmap.json, ctnhlib.mixins.json
CTM-1.20.1-1.1.10.jar                                       | ctm                                                     | ctm.mixins.json, mixin.refmap.json
curios-forge-5.14.1+1.20.1.jar                              | curios                                                  | curios.mixins.json
CustomMachinery-forge-1.20.1-0.10.7.jar                     | custommachinery                                         | 
    /META-INF/jars/saecularia-caudices-forge-1.0.23.jar     |                                                         | 
CustomMachineryCreate-forge-1.20.1-1.1.4.jar                | custommachinerycreate                                   | custommachinerycreate.mixins.json
deafission-1.20.1-0.15.4.jar                                | deafission                                              | 
embeddium-0.3.31+mc1.20.1.jar                               | embeddium                                               | embeddium.mixins.json
EnderStorage-1.20.1-2.11.0.188-universal.jar                | enderstorage                                            | 
eup2p-1.20.1-2.0.3.jar                                      | eup2p                                                   | eup2p.mixins.json
exdeorum-1.48.jar                                           | exdeorum                                                | 
ExtendedAE-1.20-1.4.9-forge.jar                             | expatternprovider                                       | mixins.epp.refmap.json, mixins.epp.json
ExtraLib-2.1.3-1.20.1-Forge.jar                             | extralib                                                | 
ExtraQuests-1.6.0-1.20.1-Forge.jar                          | extraquests                                             | extraquests.mixins.refmap.json, extraquests.mixins.json
FarmersDelight-1.20.1-1.2.9.jar                             | farmersdelight                                          | farmersdelight.mixins.json
FastSuite-1.20.1-5.1.0.jar                                  | fastsuite                                               | fastsuite.mixins.json
ferritecore-6.0.1-forge.jar                                 | ferritecore                                             | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
ftb-chunks-forge-2001.3.6.jar                               | ftbchunks                                               | ftbchunks-common.mixins.json
